Number Of Threads,Without Connectivity,With Connectivity
1,1.3655638694763184,1.4712879657745361
2,0.7075948715209961,0.7841179370880127
3,0.48682713508605957,0.5553469657897949
4,0.36599302291870117,0.43546009063720703
5,0.30471014976501465,0.3643670082092285
6,0.2640190124511719,0.3142998218536377
7,0.2279798984527588,0.2648799419403076
8,0.20227599143981934,0.2400519847869873
9,0.18563580513000488,0.21754002571105957
10,0.1750040054321289,0.2015690803527832
11,0.15890789031982422,0.19124102592468262
12,0.15398406982421875,0.18362808227539062
13,0.14088201522827148,0.17173314094543457
14,0.13488507270812988,0.16275978088378906
15,0.1287670135498047,0.16257119178771973
16,0.1458590030670166,0.15150713920593262
17,0.1180720329284668,0.14902997016906738
18,0.11399102210998535,0.13919401168823242
19,0.10691690444946289,0.13442516326904297
20,0.10608887672424316,0.1593949794769287
21,0.09909892082214355,0.14493393898010254
22,0.09583377838134766,0.13295292854309082
23,0.09406113624572754,0.1249849796295166
24,0.0902562141418457,0.12286901473999023
25,0.09029316902160645,0.12445998191833496
26,0.08800601959228516,0.1182870864868164
27,0.08500909805297852,0.14416098594665527
28,0.09119009971618652,0.1367030143737793
29,0.08097004890441895,0.10721611976623535
30,0.08411693572998047,0.10581803321838379
31,0.07887482643127441,0.13351202011108398
32,0.07719683647155762,0.12155389785766602
33,0.09698700904846191,0.1252748966217041
34,0.08110308647155762,0.11108088493347168
35,0.09318089485168457,0.1174020767211914
36,0.07394981384277344,0.1260828971862793
37,0.07362198829650879,0.12420988082885742
38,0.08702683448791504,0.09808707237243652
39,0.08929896354675293,0.1224370002746582
40,0.08478713035583496,0.12144804000854492
41,0.07941794395446777,0.11398983001708984
42,0.09048891067504883,0.12014508247375488
43,0.08762311935424805,0.12034916877746582
44,0.0880439281463623,0.11677098274230957
45,0.08900690078735352,0.11942601203918457
46,0.08560776710510254,0.11861705780029297
47,0.08150792121887207,0.11646294593811035
48,0.08403491973876953,0.11613106727600098
49,0.0860300064086914,0.11563301086425781
50,0.08352208137512207,0.11452484130859375
51,0.0859229564666748,0.11054396629333496
52,0.0828850269317627,0.10923314094543457
53,0.08224296569824219,0.10796904563903809
54,0.07923603057861328,0.11159610748291016
55,0.08318614959716797,0.10735177993774414
56,0.08022713661193848,0.10753107070922852
57,0.08244609832763672,0.10897707939147949
58,0.08109712600708008,0.10819220542907715
59,0.08097195625305176,0.10729098320007324
60,0.08031606674194336,0.1076059341430664
61,0.08145308494567871,0.10308003425598145
62,0.07793402671813965,0.10392189025878906
63,0.07769584655761719,0.10545086860656738
64,0.0750420093536377,0.10084390640258789
65,0.07609009742736816,0.1030890941619873
66,0.07712793350219727,0.10713505744934082
67,0.07851004600524902,0.10328912734985352
68,0.08250689506530762,0.1041707992553711
69,0.07721400260925293,0.10247015953063965
70,0.08098793029785156,0.10283493995666504
71,0.08167791366577148,0.1097099781036377
72,0.07974576950073242,0.10665512084960938
73,0.07843708992004395,0.1080019474029541
74,0.08141589164733887,0.10480308532714844
75,0.07734084129333496,0.10728693008422852
76,0.08071208000183105,0.1065819263458252
77,0.07950806617736816,0.10967493057250977
78,0.07772207260131836,0.10317778587341309
79,0.08092403411865234,0.10740208625793457
80,0.08219480514526367,0.10657501220703125
81,0.07570004463195801,0.10385298728942871
82,0.07456493377685547,0.10880804061889648
83,0.07779812812805176,0.1058661937713623
84,0.07942795753479004,0.10997295379638672
85,0.07896804809570312,0.10549616813659668
86,0.07874202728271484,0.10876107215881348
87,0.08250689506530762,0.10380101203918457
88,0.0823979377746582,0.10246706008911133
